CITY_MARKET,AIRPORT,AIRPORT_ID,Description
30577,BGM,10577,"Binghamton, NY"
33377,MLU,13377,"Monroe, LA"
33195,PIE,14112,"Tampa, FL (Metropolitan Area)"
32223,HTS,12223,"Ashland, WV"
32544,USA,12544,"Concord, NC"
34082,PGD,14082,"Punta Gorda, FL"
31066,LCK,12917,"Columbus, OH"
30676,BLV,10676,"Belleville, IL"
34761,SFB,14761,"Sanford, FL"
34025,PBG,14025,"Plattsburgh, NY"
30466,AZA,10466,"Phoenix, AZ"
34314,PVU,14314,"Provo, UT"
31721,FNT,11721,"Flint, MI"
34108,PIA,14108,"Peoria, IL"
35165,TOL,15295,"Toledo, OH"
34259,PSM,14259,"Portsmouth, NH"
30647,CAK,10874,"Cleveland, OH (Metropolitan Area)"
31867,GCK,11867,"Garden City, KS"
30136,ABI,10136,"Abilene, TX"
31905,GGG,11905,"Longview, TX"
32474,COU,11111,"Jefferson City/Columbia, MO"
31067,CMI,11067,"Champaign/Urbana, IL"
33038,LRD,13061,"Laredo, TX"
33290,MHK,13290,"Manhattan/Ft. Riley, KS"
32124,HHH,12124,"Hilton Head, SC"
33076,LSE,13076,"La Crosse, WI"
30732,BQN,10732,"Aguadilla, PR"
33541,MVY,13541,"Martha's Vineyard, MA"
33933,ORH,13933,"Worcester, MA"
30154,ACK,10154,"Nantucket, MA"
30158,ACY,10158,"Atlantic City, NJ"
32898,LBE,12898,"Latrobe, PA"
35356,TTN,15356,"Trenton, NJ"
31703,SWF,15070,"New York City, NY (Metropolitan Area)"
32119,HGR,12119,"Hagerstown, MD"
31027,CKB,11027,"Clarksburg/Fairmont, WV"
34512,RFD,14512,"Rockford, IL"
34716,SCK,14716,"Stockton, CA"
34905,SMX,14905,"Santa Maria, CA"
32265,IAG,12265,"Niagara Falls, NY"
34254,PSE,14254,"Ponce, PR"
31447,DVL,11447,"Devils Lake, ND"
34952,SPI,14952,"Springfield, IL"
30245,AKN,10245,"King Salmon, AK"
31401,KTN,12819,"Ketchikan, AK"
33970,OTZ,13970,"Kotzebue, AK"
33873,OME,13873,"Nome, AK"
30113,BET,10551,"Bethel, AK"
30073,SCC,14709,"Deadhorse, AK"
30913,CDV,10926,"Cordova, AK"
35991,YAK,15991,"Yakutat, AK"
34828,SIT,14828,"Sitka, AK"
34256,PSG,14256,"Petersburg, AK"
35841,WRG,15841,"Wrangell, AK"
34004,PAE,14004,"Everett, WA"
31997,GST,11997,"Gustavus, AK"
30275,ALW,10275,"Walla Walla, WA"
33792,RDD,14487,"Redding, CA"
32250,HYA,12250,"Hyannis, MA"
31315,DIK,11315,"Dickinson, ND"
30157,ACV,10157,"Eureka/Arcata, CA"
31122,CPR,11122,"Casper, WY"
32012,GUC,12012,"Gunnison, CO"
30558,BFF,10558,"Scottsbluff, NE"
31076,CMX,11076,"Hancock/Houghton, MI"
34812,SHR,14812,"Sheridan, WY"
32519,JMS,12519,"Jamestown, ND"
31283,DDC,11283,"Dodge City, KS"
32902,LBL,12902,"Liberal, KS"
32559,JST,12559,"Johnstown, PA"
32255,HYS,12255,"Hays, KS"
31865,GCC,11865,"Gillette, WY"
32888,LAR,12888,"Laramie, WY"
34109,PIB,14109,"Hattiesburg/Laurel, MS"
31725,FOD,11725,"Fort Dodge, IA"
33211,MCW,13211,"Mason City, IA"
34237,PRC,14237,"Prescott, AZ"
35569,VCT,15569,"Victoria, TX"
34877,SLN,14877,"Salina, KS"
35048,SUX,15048,"Sioux City, IA"
34543,RKS,14543,"Rock Springs, WY"
31097,COD,11097,"Cody, WY"
34711,SCE,14711,"Philipsburg/State College, PA"
32177,HOB,12177,"Hobbs, NM"
33029,LNK,13029,"Lincoln, NE"
33964,OTH,13964,"North Bend/Coos Bay, OR"
35897,WYS,15897,"West Yellowstone, MT"
34534,RIW,14534,"Riverton/Lander, WY"
30333,APN,10333,"Alpena, MI"
30739,BRD,10739,"Brainerd, MN"
30107,BRW,10754,"Barrow, AK"
31233,CYS,11233,"Cheyenne, WY"
33241,MEI,13241,"Meridian, MS"
